Scrip Code,Scrip ID,Scrip Name,Status,Group,Face Value,ISIN No,Industry
544412,3BFILMS,3B Films Ltd,Active,MT,10.00,INE0TE101010,Capital Goods
544190,3CIT,3C IT Solutions and Telecoms (India) Ltd,Active,MT,5.00,INE0R7D01018,Information Technology
543319,AAPLUSTRAD,AA Plus Tradelink Ltd,Active,MT,1.00,INE0C5901022,Services
543346,AASHKA,Aashka Hospitals Ltd,Active,M,10.00,INE0EAX01014,Healthcare
540718,AAYUSHBULL,Aayush Art And Bullion Ltd,Active,M,10.00,INE777X01017,Textiles
544422,ABRFL,Abram Food Ltd,Active,M,10.00,INE0ZDY01011,Fast Moving Consumer Goods
543938,ACCELERATE,Acceleratebs India Ltd,Active,MT,10.00,INE0POP01017,Information Technology
544431,ACEALPHA,Ace Alpha Tech Ltd,Active,M,10.00,INE0S9X01011,Information Technology
539570,ACEWIN,Acewin Agriteck Ltd,D,MT,10.00,INE742R01013,Fast Moving Consumer Goods
536737,ACFSL,Amrapali Capital and Finance Services Ltd,Active,MT,10.00,INE218P01018,Financial Services
543499,ACHYUT,Achyut Healthcare Ltd,Active,M,1.00,INE0K1401020,Healthcare
544213,ACLD,Aelea Commodities Ltd,Active,M,10.00,INE0T3401029,Fast Moving Consumer Goods
540146,ACML,Aditya Consumer Marketing Ltd,Active,MT,10.00,INE427V01013,Consumer Services
544435,ADCOUNTY,Adcounty Media India Ltd,Active,M,10.00,INE0W1601012,"Media, Entertainment & Publication"
543309,ADESHWAR,Adeshwar Meditex Ltd,Active,M,10.00,INE0H8J01015,Healthcare
780018,ADHIRAJ (ITP),Adhiraj Distributors Ltd (ITP),Active,IP,10.00,INE067R01015,-
543377,ADISHAKTI,Adishakti Loha and Ispat Ltd,Active,M,10.00,INE0CWK01019,Capital Goods
544224,AFCOM,Afcom Holdings Ltd,Active,MT,10.00,INE0OXY01013,Services
537492,AGRIMONY,Agrimony Commodities Ltd,D,MT,10.00,INE567P01018,Services
543941,AHASOLAR,Ahasolar Technologies Ltd,Active,MT,10.00,INE0NEV01011,Consumer Services
544072,AIKPIPES,AIK Pipes and Polymers Ltd,Active,MT,10.00,INE0QFT01015,Capital Goods
544425,AJCJEWEL,AJC Jewel Manufacturers Ltd,Active,M,10.00,INE0XRR01010,Consumer Durables
543453,ALKOSIGN,Alkosign Ltd,Active,M,10.00,INE0KA601012,Fast Moving Consumer Goods
543937,ALPHAIND,Alphalogic Industries Ltd,Active,MT,10.00,INE0NZF01019,Capital Goods
543804,AMANAYA,Amanaya Ventures Ltd,Active,M,10.00,INE0G1V01016,Metals & Mining
543678,AMBOAGRI,Ambo Agritec Ltd,Active,M,10.00,INE0N6V01016,Fast Moving Consumer Goods
544037,AMIC,Amic Forging Ltd,Active,M,10.00,INE0P9J01013,Capital Goods
544169,AMKAY,Amkay Products Ltd,Active,M,10.00,INE0QSB01016,Healthcare
539265,AMRAFIN,Amrapali Fincap Ltd,Active,MT,10.00,INE990S01016,Financial Services
544353,AMWILL,Amwill Health Care Ltd,Active,M,10.00,INE0U2L01017,Healthcare
541006,ANGEL,Angel Fibers Ltd,Active,M,10.00,INE339Z01011,Textiles
539403,ARAMBHAN,Arambhan Hospitality Services Ltd,D,M,10.00,INE800S01017,Consumer Services
541401,ARIHANTINS,Arihant Institute Ltd,S,MT,10.00,INE997Z01016,Consumer Services
544025,ARROWHEAD,Arrowhead Seperation Engineering Ltd,Active,M,10.00,INE0PP401015,Capital Goods
543943,ASARFI,Asarfi Hospital Ltd,Active,MT,10.00,INE0DN001027,Healthcare
544183,ASSOCIATED,Associated Coaters Ltd,Active,MT,10.00,INE0RIQ01013,Capital Goods
544409,ASTONEALAB,Astonea Labs Ltd,Active,M,10.00,INE0TG901011,Healthcare
544417,ATENPAPERS,Aten Papers & Foam Ltd,Active,MT,10.00,INE0XCV01014,Forest Materials
539099,ATHCON,Athena Constructions Ltd,Active,M,10.00,INE291R01011,Realty
536492,ATWL,Ace Tours Worldwide Ltd,D,MT,10.00,INE926O01019,-
780004,AUTUMN (ITP),Autumn Builders Ltd (ITP),S,IP,10.00,INE733P01016,-
544337,AVAX,Avax Apparels and Ornaments Ltd,Active,MT,10.00,INE0NQ401016,Textiles
544177,AZTEC,Aztec Fluids & Machinery Ltd,Active,M,10.00,INE0SCB01016,Information Technology
543497,BCCL,Bhatia Colour Chem Ltd,Active,MT,10.00,INE0KQ001017,Chemicals
544369,BEEZAASAN,Beezaasan Explotech Ltd,Active,M,10.00,INE13VU01016,Chemicals
541178,BENARA,Benara Bearings and Pistons Ltd,Active,M,10.00,INE495Z01011,Capital Goods
544052,BENCHMARK,Benchmark Computer Solutions Ltd,Active,MT,10.00,INE0Q2Z01013,Information Technology
538576,BHANDERI,Bhanderi Infracon Ltd,Active,MT,10.00,INE336Q01016,Realty
543209,BILLWIN,Billwin Industries Ltd,Active,M,10.00,INE0CRS01012,Diversified
540148,BINDALEXPO,Bindal Exports Ltd,Active,MT,10.00,INE564V01013,Consumer Durables
543926,BIZOTIC,Bizotic Commercial Ltd,Active,MT,10.00,INE0OJ401014,Textiles
535279,BMAL,Bothra Metals & Alloys Ltd,Active,M,10.00,INE583M01012,Metals & Mining
543971,BONDADA,Bondada Engineering Ltd,Active,MT,2.00,INE0Q8P01029,Telecommunication
543439,BRANDBUCKT,Brandbucket Media & Technology Ltd,S,MT,10.00,INE0ILD01014,"Media, Entertainment & Publication"
544335,BRGIL,B.R.Goyal Infrastructure Ltd,Active,M,10.00,INE00ST01011,Construction
543831,BRIGHT,Bright Outdoor Media Ltd,Active,M,10.00,INE0OMI01019,"Media, Entertainment & Publication"
544101,BRISK,Brisk Technovision Ltd,Active,M,10.00,INE0Q6L01014,Information Technology
544231,BROACH,Broach Lifecare Hospital Ltd,Active,M,10.00,INE0SFZ01018,Healthcare
543543,BRRL,B-Right Realestate Ltd,Active,M,10.00,INE0IZQ01016,Realty
539637,BVL,Blueblood Ventures Ltd,S,M,10.00,INE562S01013,Financial Services
543621,CARGOSOL,Cargosol Logistics Ltd,Active,MT,10.00,INE0KZM01011,Services
543618,CARGOTRANS,Cargotrans Maritime Ltd,Active,M,10.00,INE0M4L01013,Services
542934,CBPL,Chandra Bhagat Pharma Ltd,Active,M,10.00,INE07QQ01016,Healthcare
544000,CCAL,City Crops Agro Ltd,Active,M,10.00,INE0M7501019,Fast Moving Consumer Goods
543920,CFF,CFF Fluid Control Ltd,Active,M,10.00,INE0NJ001013,Capital Goods
544151,CHATHA,Chatha Foods Ltd,Active,M,10.00,INE0AH901011,Fast Moving Consumer Goods
542678,CHCL,Cian Healthcare Ltd,Active,MT,10.00,INE05BN01019,Healthcare
540681,CHOTHANI,Chothani Foods Ltd,Active,MT,10.00,INE344X01016,Fast Moving Consumer Goods
544324,CITICHEM,Citichem India Ltd,Active,MT,10.00,INE0A8401016,Chemicals
780013,CITYON (ITP),Cityon Systems (India) Ltd (ITP),Active,IP,10.00,INE324P01014,-
543435,CLARA,Clara Industries Ltd,Active,MT,10.00,INE0JJS01014,Capital Goods
544347,CLN,CLN Energy Ltd,Active,MT,10.00,INE0WDX01010,Automobile and Auto Components
543619,CNCRD,Concord Control Systems Ltd,Active,M,10.00,INE0N0J01014,Capital Goods
535142,CNEL,Channel Nine Entertainment Ltd,S,MT,1.00,INE437O01025,"Media, Entertainment & Publication"
544343,CNINFOTECH,Capitalnumbers Infotech Ltd,Active,M,10.00,INE0WXM01011,Information Technology
543843,COMMAND,Command Polymers Ltd,Active,MT,10.00,INE0LKQ01012,Capital Goods
543921,COMRADE,Comrade Appliances Ltd,Active,MT,10.00,INE0NXA01015,Consumer Durables
543606,CONTAINE,Containe Technologies Ltd,Active,MT,10.00,INE0M8901010,Capital Goods
543928,COSMICCRF,Cosmic CRF Ltd,Active,M,10.00,INE0ORA01015,Capital Goods
543172,COSPOWER,Cospower Engineering Ltd,Active,M,10.00,INE0CQB01010,Capital Goods
544195,COTFAB,United Cotfab Ltd,Active,MT,10.00,INE0S0I01011,Textiles
542727,CPML,City Pulse Multiventures Ltd,Active,M,10.00,INE056001014,Consumer Services
540903,CRPRISK,CRP Risk Management Ltd,S,M,10.00,INE422M01013,Services
540652,CTCL,Captain Technocast Ltd,Active,M,10.00,INE931X01010,Capital Goods
544220,CTLLAB,Clinitech Laboratory Ltd,Active,MT,10.00,INE0QMR01015,Healthcare
543651,DAPS,DAPS Advertising Ltd,Active,MT,10.00,INE975Z01012,"Media, Entertainment & Publication"
544331,DAVIN,Davin Sons Retail Ltd,Active,MT,10.00,INE0Q2L01013,Textiles
542002,DCL,Devoted Construction Ltd,S,M,10.00,INE061Z01011,Realty
544036,DEEPAKCHEM,Deepak Chemtex Ltd,Active,M,10.00,INE0RDM01013,Chemicals
780006,DEKSON (ITP),Dekson Castings Ltd (ITP),S,IP,1000.00,INE465Q01013,-
544387,DESCO,Desco Infratech Ltd,Active,MT,10.00,INE0TGG01014,Construction
543848,DEVLAB,Dev Labtech Venture Ltd,Active,MT,10.00,INE0NIJ01017,Consumer Durables
544201,DFPL,Dindigul Farm Product Ltd,Active,MT,10.00,INE0S6R01027,Fast Moving Consumer Goods
542155,DGL,Diksha Greens Ltd,Active,M,10.00,INE01GR01018,Services
543753,DHARNI,Dharni Capital Services Ltd,Active,M,1.00,INE0M9Q01011,Financial Services
543516,DHYAANITR,Dhyaani Tradeventtures Ltd,Active,M,10.00,INE0K5F01014,Services
540151,DIKSAT,Diksat Transworld Ltd,Active,M,10.00,INE942P01013,"Media, Entertainment & Publication"
541299,DLCL,Dr Lalchandani Labs Ltd,Active,MT,10.00,INE871Z01013,Healthcare
540811,DML,Diggi Multitrade Ltd,Active,M,10.00,INE158R01012,Services
543410,DMR,DMR Hydroengineering & Infrastructures Ltd,Active,MT,10.00,INE07L501010,Services
543594,DPL,Dipna Pharmachem Ltd,Active,MT,10.00,INE0MC401013,Healthcare
540144,DRA,DRA Consultants Ltd,Active,M,10.00,INE746V01016,Services
543713,DRONACHRYA,Droneacharya Aerial Innovations Ltd,Active,MT,10.00,INE0MQD01015,Services
540695,DWL,Dhruv Wellness Ltd,Active,MT,10.00,INE109Y01011,Services
543765,EARTH,Earthstahl & Alloys Ltd,Active,M,10.00,INE0O4V01010,Capital Goods
534927,EBFL,Esteem Bio Organic Food Processing Ltd,D,MT,1.00,INE209O01028,Fast Moving Consumer Goods
534839,EFPL,Eco Friendly Food Processing Park Ltd,S,MT,1.00,INE178O01025,Fast Moving Consumer Goods
543518,EIGHTY,Eighty Jewellers Ltd,Active,M,10.00,INE0KSN01014,Consumer Durables
541053,EIS,East India Securities Ltd,D,M,10.00,INE482Z01019,Financial Services
543475,EKENNIS,Ekennis Software Service Ltd,Active,M,10.00,INE0KCM01010,Information Technology
544166,EMMFORCE,Emmforce Autotech Ltd,Active,MT,10.00,INE0SDC01012,Automobile and Auto Components
538684,ENCASH,Encash Entertainment Ltd,Active,MT,10.00,INE552Q01018,"Media, Entertainment & Publication"
543595,EPBIO,EP Biocomposites Ltd,Active,M,10.00,INE0D2I01014,Utilities
544094,EUPHORIAIT,Euphoria Infotech (India) Ltd,Active,MT,10.00,INE0PYT01018,Information Technology
542668,EVANS,Evans Electric Ltd,Active,MT,10.00,INE06TD01010,Services
543500,EVOQ,Evoq Remedies Ltd,Active,MT,10.00,INE0JVD01011,Services
543895,EXHICON,Exhicon Events Media Solutions Ltd,Active,MT,10.00,INE0O8901016,Consumer Services
544164,FAALCON,Faalcon Concepts Ltd,Active,M,10.00,INE0Q9W01015,Capital Goods
544332,FABCLEAN,Fabtech Technologies Cleanrooms Ltd,Active,MT,10.00,INE0HSD01011,Capital Goods
543444,FABINO,Fabino Enterprises Ltd,Active,MT,10.00,INE0DRT01018,Healthcare
539098,FILTRA,Filtra Consultants and Engineers Ltd,Active,M,10.00,INE541R01019,Utilities
543312,FOCUS,Focus Business Solution Ltd,Active,MT,10.00,INE0DXR01010,Information Technology
543521,FONE4,Fone4 Communications (India) Ltd,Active,MT,10.00,INE0L3H01014,Consumer Services
539839,FRANKLIN,Franklin Leasing and Finance Ltd,Active,M,10.00,INE399S01010,Financial Services
